run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1.11;14.22;3.02;14;;;0.0;98.8;688.3;425.2;25.8;15.9;48.1;0.0;92.6;73.4;118.5;192.6;7.3;0.9;0.0;7.1;18.0;9.8;6.4;25.8;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1.11;14.22;3.02;26;;;0.0;107.5;688.3;469.2;25.8;17.6;52.6;0.0;101.3;73.6;118.5;192.6;7.3;0.9;0.0;6.0;19.7;9.8;6.4;25.8;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1.11;26.4;2.32;20;;;0.0;88.7;370.5;361.1;13.9;13.5;42.9;0.0;82.6;72.8;63.8;182.2;6.1;0.9;0.0;9.0;15.4;9.7;6.4;13.9;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1.11;26.4;2.32;14;;;0.0;84.7;370.6;342.4;13.9;12.8;40.8;0.0;78.6;72.7;63.8;178.7;6.1;0.9;0.0;9.7;14.7;9.7;6.4;13.9;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1.11;26.4;2.32;26;;;0.0;92.8;370.5;380.6;13.9;14.3;45.0;0.0;86.6;73.0;63.8;189.6;6.1;0.9;0.0;8.3;16.2;9.7;6.3;13.9;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1.11;26.4;1.62;20;;;0.0;87.5;370.5;355.0;13.9;13.3;42.2;0.0;81.3;72.8;63.8;180.2;4.9;0.9;0.0;9.2;15.2;9.7;6.4;13.9;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1.11;26.4;1.62;14;;;0.0;83.5;370.6;336.4;13.9;12.6;40.1;0.0;77.3;72.6;63.8;176.3;4.9;0.9;0.0;10.0;14.5;9.7;6.4;13.9;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1.11;26.4;1.62;26;;;0.0;91.5;370.5;374.1;13.9;14.0;44.3;0.0;85.4;72.9;63.8;186.6;4.9;0.9;0.0;8.5;15.9;9.7;6.3;13.9;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1.11;26.4;3.02;20;;;0.0;90.0;370.5;367.3;13.9;13.8;43.5;0.0;83.8;72.9;63.8;185.6;7.3;0.9;0.0;8.8;15.7;9.7;6.4;13.9;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1.11;26.4;3.02;14;;;0.0;85.9;370.6;348.3;13.9;13.1;41.4;0.0;79.8;72.7;63.8;181.9;7.3;0.9;0.0;9.5;14.9;9.7;6.4;13.9;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1.11;26.4;3.02;26;;;0.0;94.0;370.5;387.2;13.9;14.5;45.6;0.0;87.9;73.0;63.8;190.1;7.3;0.9;0.0;8.2;16.4;9.7;6.3;13.9;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
