run,people_m2_per_person,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
0,7.0,0.0,6368.14,0.0,238.73,210.91,0.0,7.91,0.0,120.98,0.0,233.11,66.77999877929688,64.2,0.29,22.04,0.6,0.0,7.98,45.39,0.0,11.36,31.96,99.42,11.82,0.0,0.0,0.0,0.0,-5.62
1,8.6,0.0,6167.34,0.0,231.2,171.66,0.0,6.44,0.0,117.08,0.0,225.58,66.70999908447266,52.25,0.13,22.04,0.6,0.0,8.28,43.67,0.0,11.3,26.01,99.42,11.82,0.0,0.0,0.0,0.0,-5.62
