run,people_m2_per_person,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
0,8.6,0.0,6168.15,0.0,231.23,171.66,0.0,6.44,0.0,117.09,0.0,225.61,66.70999908447266,52.25,0.13,22.04,0.6,0.0,8.28,43.7,0.0,11.3,26.01,99.42,11.82,0.0,0.0,0.0,0.0,-5.62
1,17.24,0.0,5740.09,0.0,215.19,85.64,0.0,3.21,0.0,108.76,0.0,209.56,66.55999755859375,26.07,0.0,22.04,0.6,0.0,9.4,39.88,0.0,11.24,12.97,99.42,11.82,0.0,0.0,0.0,0.0,-5.62
2,5.75,0.0,6614.07,0.0,247.95,256.72,0.01,9.62,0.0,125.77,0.0,242.33,66.86000061035156,78.15,0.48,22.04,0.6,0.0,7.83,47.51,0.0,11.53,38.9,99.42,11.82,0.0,0.0,0.0,0.0,-5.62
