run;dhw_lph_per_person;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;1.11;0.0;1672.49;0.0;62.7;324.45;260.72;12.16;9.77;30.4;0.0;58.57;4.916.999.816.894.530;55.86;128.07;4.1;0.6;0.0;5.49;11.08;6.56;4.3;12.16;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
1;0.78;0.0;1576.06;0.0;59.08;228.02;260.72;8.55;9.77;28.52;0.0;54.96;4.916.999.816.894.530;39.25;128.07;4.1;0.6;0.0;5.49;11.08;6.56;4.3;8.54;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
2;1.44;0.0;1768.92;0.0;66.31;420.88;260.72;15.78;9.77;32.28;0.0;62.19;4.916.999.816.894.530;72.47;128.07;4.1;0.6;0.0;5.49;11.08;6.56;4.3;15.77;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
