run;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;Equipment1;0.0;1672.49;0.0;62.7;324.45;260.72;12.16;9.77;30.4;0.0;58.57;4.916.999.816.894.530;55.86;128.07;4.1;0.6;0.0;5.49;11.08;6.56;4.3;12.16;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
1;Equipment2;0.0;1598.62;0.0;59.93;324.45;247.27;12.16;9.27;28.96;0.0;55.8;4.906.999.969.482.420;55.86;127.21;4.1;0.6;0.0;5.95;10.57;6.54;4.33;12.16;8.6;1.79;1.66;0.0;0.0;2.57;-4.13
2;Equipment3;0.0;1747.76;0.0;65.52;324.44;274.76;12.16;10.3;31.86;0.0;61.4;492.599.983.215.332;55.86;128.8;4.1;0.6;0.0;5.07;11.63;6.57;4.27;12.16;13.96;1.79;1.66;0.0;0.0;2.57;-4.13
