run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
16;0.4;17.24;Lighting3;Equipment2;0.0;2981.56;0.0;111.77;85.64;0.0;3.21;0.0;55.87;0.0;111.77;3.933.000.183.105.460;26.07;0.05;9.35;0.6;0.0;18.98;21.55;0.0;12.89;12.97;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
17;0.4;17.24;Lighting3;Equipment3;0.0;3213.9;0.0;120.48;85.64;0.01;3.21;0.0;60.39;0.0;120.48;39.369.998.931.884.700;26.07;0.05;9.35;0.6;0.0;16.06;23.55;0.0;12.8;12.97;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
18;0.4;5.75;Lighting1;Equipment1;0.0;3733.55;0.0;139.96;256.72;0.02;9.62;0.0;70.5;0.0;139.96;4.184.000.015.258.780;78.15;0.08;7.51;0.6;0.0;9.84;28.68;0.0;12.79;38.9;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
19;0.4;5.75;Lighting1;Equipment2;0.0;3560.41;0.0;133.47;256.72;0.02;9.62;0.0;67.13;0.0;133.47;4.181.999.969.482.420;78.15;0.08;7.51;0.6;0.0;10.8;27.17;0.0;12.7;38.9;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
20;0.4;5.75;Lighting1;Equipment3;0.0;3840.96;0.0;143.99;256.72;0.02;9.62;0.0;72.59;0.0;143.99;4.186.000.061.035.150;78.15;0.1;7.51;0.6;0.0;9.33;29.30;0.0;12.83;38.9;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
21;0.4;5.75;Lighting2;Equipment1;0.0;3707.69;0.0;139.0;256.72;0.02;9.62;0.0;70.0;0.0;139.0;4.184.000.015.258.780;78.15;0.09;6.58;0.6;0.0;9.99;28.50;0.0;12.78;38.9;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
22;0.4;5.75;Lighting2;Equipment2;0.0;3536.1;0.0;132.56;256.72;0.02;9.62;0.0;66.66;0.0;132.56;4.181.999.969.482.420;78.15;0.08;6.58;0.6;0.0;11.06;26.94;0.0;12.7;38.9;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
23;0.4;5.75;Lighting2;Equipment3;0.0;3814.74;0.0;143.01;256.72;0.02;9.62;0.0;72.08;0.0;143.01;41.849.998.474.121.000;78.15;0.09;6.58;0.6;0.0;9.48;29.12;0.0;12.81;38.9;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
24;0.4;5.75;Lighting3;Equipment1;0.0;3785.91;0.0;141.93;256.72;0.02;9.62;0.0;71.52;0.0;141.93;41.849.998.474.121.000;78.15;0.09;9.35;0.6;0.0;9.57;29.03;0.0;12.81;38.9;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
25;0.4;5.75;Lighting3;Equipment2;0.0;3617.44;0.0;135.61;256.72;0.02;9.62;0.0;68.24;0.0;135.61;4.183.000.183.105.460;78.15;0.09;9.35;0.6;0.0;10.4;27.78;0.0;12.76;38.9;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
