run;people_m2_per_person;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;20.31;0.0;1672.49;0.0;62.7;324.45;260.72;12.16;9.77;30.4;0.0;58.57;4.916.999.816.894.530;55.86;128.07;4.1;0.6;0.0;5.49;11.08;6.56;4.3;12.16;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
1;14.22;0.0;1826.36;0.0;68.47;463.26;296.12;17.37;11.1;33.39;0.0;64.34;49.439.998.626.708.900;79.77;129.63;4.1;0.6;0.0;4.53;12.48;6.59;4.31;17.36;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
2;26.4;0.0;1592.67;0.0;59.71;249.4;243.01;9.35;9.11;28.85;0.0;55.58;4.902.000.045.776.360;42.93;122.62;4.1;0.6;0.0;6.07;10.39;6.54;4.31;9.35;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
