run;gen_lighting_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;Lighting1;0.0;1672.49;0.0;62.7;324.45;260.72;12.16;9.77;30.4;0.0;58.57;4.916.999.816.894.530;55.86;128.07;4.1;0.6;0.0;5.49;11.08;6.56;4.3;12.16;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
1;Lighting2;0.0;1649.49;0.0;61.84;324.45;256.26;12.16;9.61;29.95;0.0;57.71;49.130.001.068.115.200;55.86;127.58;3.29;0.6;0.0;5.63;10.91;6.55;4.3;12.16;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
2;Lighting3;0.0;1695.53;0.0;63.56;324.45;265.15;12.16;9.94;30.85;0.0;59.44;4.920.000.076.293.940;55.86;128.56;4.91;0.6;0.0;5.36;11.25;6.56;4.3;12.16;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
