run;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;Equipment1;0.0;3378.14;0.0;126.64;171.66;0.01;6.44;0.0;63.59;0.0;126.64;40.599.998.474.121.000;52.25;0.06;7.51;0.6;0.0;12.78;24.07;0.0;12.74;26.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
1;Equipment2;0.0;3240.81;0.0;121.49;171.66;0.01;6.44;0.0;60.91;0.0;121.49;4.058.000.183.105.460;52.25;0.06;7.51;0.6;0.0;14.68;22.77;0.0;12.82;26.01;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
2;Equipment3;0.0;3485.32;0.0;130.66;171.66;0.01;6.44;0.0;65.67;0.0;130.66;4.061.000.061.035.150;52.25;0.06;7.51;0.6;0.0;12.11;24.82;0.0;12.78;26.01;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
