run;dhw_lph_per_person;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;0.4;0.0;3378.14;0.0;126.64;171.66;0.01;6.44;0.0;63.59;0.0;126.64;40.599.998.474.121.000;52.25;0.06;7.51;0.6;0.0;12.78;24.07;0.0;12.74;26.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
1;0.7;0.0;3898.59;0.0;146.15;300.4;0.01;11.26;0.0;73.71;0.0;146.15;40.599.998.474.121.000;91.45;0.06;7.51;0.6;0.0;12.78;24.07;0.0;12.74;45.53;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
2;0.2;0.0;3031.17;0.0;113.63;85.83;0.01;3.22;0.0;56.83;0.0;113.63;40.599.998.474.121.000;26.13;0.06;7.51;0.6;0.0;12.78;24.07;0.0;12.74;13.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
