run,dhw_lph_per_person,people_m2_per_person,gen_lighting_gain,computer_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
19,1.11,26.4,Lighting1,Equipment2,0.0,1520.88,0.0,57.02,249.41,230.48,9.35,8.64,27.45,0.0,52.89,48.91999816894531,42.93,120.25,4.1,0.6,0.0,6.56,9.9,6.52,4.34,9.35,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
20,1.11,26.4,Lighting1,Equipment3,0.0,1665.6,0.0,62.44,249.4,256.15,9.35,9.6,30.27,0.0,58.32,49.11000061035156,42.93,127.61,4.1,0.6,0.0,5.62,10.89,6.55,4.26,9.35,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
21,1.11,26.4,Lighting2,Equipment1,0.0,1570.43,0.0,58.87,249.4,238.94,9.35,8.96,28.41,0.0,54.75,48.97999954223633,42.93,121.29,3.29,0.6,0.0,6.22,10.23,6.53,4.31,9.35,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
22,1.11,26.4,Lighting2,Equipment2,0.0,1498.83,0.0,56.19,249.41,226.43,9.35,8.49,27.02,0.0,52.06,48.880001068115234,42.93,118.68,3.29,0.6,0.0,6.71,9.75,6.52,4.34,9.35,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
23,1.11,26.4,Lighting2,Equipment3,0.0,1642.85,0.0,61.59,249.4,251.78,9.35,9.44,29.82,0.0,57.46,49.08000183105469,42.93,125.59,3.29,0.6,0.0,5.75,10.72,6.55,4.26,9.35,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
24,1.11,26.4,Lighting3,Equipment1,0.0,1615.11,0.0,60.55,249.4,247.21,9.35,9.27,29.28,0.0,56.42,49.04999923706055,42.93,124.91,4.91,0.6,0.0,5.93,10.55,6.54,4.3,9.35,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
25,1.11,26.4,Lighting3,Equipment2,0.0,1542.82,0.0,57.84,249.41,234.45,9.35,8.79,27.88,0.0,53.71,48.95000076293945,42.93,122.42,4.91,0.6,0.0,6.41,10.06,6.53,4.34,9.35,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
26,1.11,26.4,Lighting3,Equipment3,0.0,1688.6,0.0,63.3,249.39,260.61,9.35,9.77,30.71,0.0,59.18,49.150001525878906,42.93,127.96,4.91,0.6,0.0,5.49,11.06,6.56,4.26,9.35,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
27,0.78,20.31,Lighting1,Equipment1,0.0,1576.06,0.0,59.08,228.02,260.72,8.55,9.77,28.52,0.0,54.96,49.16999816894531,39.25,128.07,4.1,0.6,0.0,5.49,11.08,6.56,4.3,8.54,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
28,0.78,20.31,Lighting1,Equipment2,0.0,1502.19,0.0,56.31,228.02,247.27,8.55,9.27,27.09,0.0,52.19,49.06999969482422,39.25,127.21,4.1,0.6,0.0,5.95,10.57,6.54,4.33,8.54,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
