run;people_m2_per_person;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;20.3;;;0;93.16;482.06;387.37;18.07;14.52;45.17;0;87.02;20;82.99;190.28;6.09;0.89;0;8.16;16.46;9.75;6.39;18.07;16.76;2.66;2.47;0;0;3.82;-6.14
1;14.2;;;0;101.73;688.29;439.96;25.81;16.49;49.61;0;95.59;20;118.52;192.6;6.09;0.89;0;6.73;18.54;9.79;6.4;25.79;16.76;2.66;2.47;0;0;3.82;-6.14
2;26.4;;;0;88.71;370.55;361.05;13.89;13.54;42.86;0;82.58;20;63.78;182.18;6.09;0.89;0;9.02;15.44;9.72;6.4;13.89;16.76;2.66;2.47;0;0;3.82;-6.14
