run;dhw_lph_per_person;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;0.6;;;0;93.16;482.06;387.37;18.07;14.52;45.17;0;87.02;73.05;82.99;190.28;6.09;0.89;0;8.16;16.46;9.75;6.39;18.07;16.76;2.66;2.47;0;0;3.82;-6.14
1;0.42;;;0;87.78;338.78;387.37;12.7;14.52;42.37;0;81.66;73.05;58.32;190.28;6.09;0.89;0;8.16;16.46;9.75;6.39;12.69;16.76;2.66;2.47;0;0;3.82;-6.14
2;0.78;;;0;98.52;625.33;387.37;23.45;14.52;47.96;0;92.4;73.05;107.67;190.28;6.09;0.89;0;8.16;16.46;9.75;6.39;23.43;16.76;2.66;2.47;0;0;3.82;-6.14
