run;people_m2_per_person;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;20.31;0.0;1695.53;0.0;63.56;324.45;265.15;12.16;9.94;30.85;0.0;59.44;4.920.000.076.293.940;55.86;128.56;4.91;0.6;0.0;5.36;11.25;6.56;4.3;12.16;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
1;14.22;0.0;1850.48;0.0;69.37;463.26;300.88;17.37;11.28;33.86;0.0;65.25;49.470.001.220.703.100;79.77;129.47;4.91;0.6;0.0;4.42;12.66;6.6;4.32;17.36;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
2;26.4;0.0;1615.11;0.0;60.55;249.4;247.21;9.35;9.27;29.28;0.0;56.42;4.904.999.923.706.050;42.93;124.88;4.91;0.6;0.0;5.93;10.55;6.54;4.3;9.35;11.28;1.79;1.66;0.0;0.0;2.57;-4.13
