Parameter,SRC,r (correlation),p-value,Significant,Ranking
people_m2_per_person,-0.6584942558584161,-0.6584942558584168,6.716672292189746e-44,***,1
dhw_lph_per_person,0.578756179395743,0.5787561793957429,5.229789187866786e-40,***,2
computer_gain,0.4217133480525904,0.4217133480525905,6.434197777831154e-31,***,3
gen_lighting_gain,0.13046347252226154,0.1304634725222617,7.768412491511921e-08,***,4
