run,gen_lighting_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
0,Lighting1,0.0,3487.03,0.0,130.72,171.66,0.01,6.44,0.0,64.93,0.0,125.1,40.040000915527344,52.25,0.06,6.4,0.6,0.0,13.08,23.41,0.0,12.61,26.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
1,Lighting2,0.0,3474.77,0.0,130.26,171.66,0.01,6.44,0.0,64.69,0.0,124.64,40.040000915527344,52.25,0.07,5.95,0.6,0.0,13.2,23.29,0.0,12.61,26.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
2,Lighting3,0.0,3512.71,0.0,131.69,171.66,0.01,6.44,0.0,65.43,0.0,126.06,40.040000915527344,52.25,0.06,7.3,0.6,0.0,12.86,23.66,0.0,12.63,26.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
