Parameter,SRC,r (correlation),p-value,Significant,Ranking
dhw_lph_per_person,0.7206447763764053,0.7206447763764048,2.3184483474673858e-29,***,1
people_m2_per_person,-0.5613304575177762,-0.5613304575177761,5.545904985249525e-23,***,2
computer_gain,0.20567125604567799,0.2056712560456783,1.754839031434647e-06,***,3
gen_lighting_gain,0.059557944781118484,0.05955794478111838,0.13762230861224017,ns,4
